Дата,Материал,Цена,Изменение за день,Изменение за день(процент),Изменение за неделю,Изменение за неделю(процент),Изменение за месяц,Изменение за месяц(процент)
2023-06-07 00:00:00,"FeSi (75%, EXW Внутренняя Монголия)",7550 CNY/т,+0 CNY/т,+0 %,-100 CNY/т,-1.31 %,-550 CNY/т,-6.79 %
-,"FeSi (75%, FOB Китай)",1455 USD/т,-10 USD/т,-0.68 %,-30 USD/т,-2.02 %,-100 USD/т,-6.43 %
-,"FeSi (75%, DDP Европа)",1847 USD/т,+3 USD/т,+0.16 %,-77 USD/т,-4.0 %,-214.5 USD/т,-10.41 %
-,"FeSi (75%, EXW США)",2700.0 USD/т,+0 USD/т,+0 %,+0 USD/т,+0 %,+0 USD/т,+0 %
-,"SiMn (65/17, EXW Гуанси)",6650 CNY/т,+0 CNY/т,+0 %,-25 CNY/т,-0.37 %,-375 CNY/т,-5.34 %
-,"SiMn (65/16, FOB Индия)",975 USD/т,+0 USD/т,+0 %,+0 USD/т,+0 %,-40 USD/т,-3.94 %
-,"SiMn (65% Mn, EXW США)",1455.56 USD/т,+0 USD/т,+0 %,-66.67 USD/т,-4.38 %,-55.56 USD/т,-3.68 %
-,"SiMn (65% Mn, DDP Европа)",1059.5 USD/т,-31 USD/т,-2.84 %,-75 USD/т,-6.61 %,-146.5 USD/т,-12.15 %
-,"FeMn (76% Mn, DDP Европа)",1102.5 USD/т,+2 USD/т,+0.18 %,-21 USD/т,-1.87 %,-70.5 USD/т,-6.01 %
-,"Mn руда (36-38% Mn, кусоковая, CIF Китай)",3.83 USD/1% Mn в смт,+0 USD/1% Mn в смт,+0 %,-0.2 USD/1% Mn в смт,-4.97 %,-0.38 USD/1% Mn в смт,-8.93 %
