Дата,Материал,Цена,Изменение за день,Изменение за день(процент),Изменение за неделю,Изменение за неделю(процент),Изменение за месяц,Изменение за месяц(процент)
2023-06-07 00:00:00,Заготовка (FOB Россия),520 USD/т,-5 USD/т,-0.95 %,-5 USD/т,-0.95 %,-25 USD/т,-4.59 %
-,Заготовка (FOB Индия),505 USD/т,+0 USD/т,+0 %,+0 USD/т,+0 %,-55 USD/т,-9.82 %
-,Рулон г/к (FOB Россия),580 USD/т,-15 USD/т,-2.52 %,-15 USD/т,-2.52 %,-50 USD/т,-7.94 %
-,Рулон г/к (FOB Индия),570 USD/т,+0 USD/т,+0 %,+0 USD/т,+0 %,-75 USD/т,-11.63 %
-,Рулон г/к (EXW Россия),63304.17 руб/т,+7.5 руб/т,+0.01 %,-236.67 руб/т,-0.37 %,-316.67 руб/т,-0.5 %
-,Рулон х/к (FOB Россия),690 USD/т,+0 USD/т,+0 %,+0 USD/т,+0 %,-35 USD/т,-4.83 %
-,Рулон х/к (FOB Индия),715 USD/т,+0 USD/т,+0 %,-20 USD/т,-2.72 %,-105 USD/т,-12.8 %
-,Рулон х/к (EXW Россия),82305 руб/т,-49.17 руб/т,-0.06 %,-102.5 руб/т,-0.12 %,+1287.5 руб/т,+1.59 %
-,Арматура (FOB Россия),530 USD/т,-10 USD/т,-1.85 %,-10 USD/т,-1.85 %,-40 USD/т,-7.02 %
-,Арматура (EXW Россия),48988.33 руб/т,-11.67 руб/т,-0.02 %,-282.5 руб/т,-0.57 %,+62.5 руб/т,+0.13 %
